Location,Latitude,Longitude
碧街17號,22.31356,114.16797
碧街27號,22.3136,114.16817
鴻福大樓,22.32854,114.16593
寶德大廈B座,22.31467,114.18937
樂富邨樂翠樓,22.33567,114.18711
福和大樓A座,22.32284,114.16426
彩盈邨盈安樓,22.32875,114.21549
蕃田村,22.49873,114.07359
太古城寧安閣,22.28618,114.21481
安達邨智達樓,22.32074,114.2343
順安大廈,22.31395,114.1679
東濤苑旭濤閣,22.28182,114.2257
加連威老道59號,22.30043,114.1754
麗港城7座,22.30669,114.22675
葵盛西邨3座,22.36256,114.12357
湖景邨湖月樓,22.37652,113.96505
仁賢大廈健寧安老院,22.30655,114.16735
保定樓,22.44523,114.02966
寶盈花園2座,22.30709,114.26255
松柏新邨C座,22.2658,114.18183
廣明苑廣昌閣,22.31197,114.25976
映灣園2期映濤軒6座,22.29255,113.95048
樂信臺3座,22.27947,114.1534
東發大廈C座,22.29005,114.20027
東發大廈C座,22.29005,114.20027
東發大廈C座,22.29005,114.20027
東發大廈C座,22.29005,114.20027
東發大廈C座,22.29005,114.20027
華美達華麗酒店,22.30297,114.1747
長康邨康榮樓,22.34952,114.10599
東濤苑旭濤閣,22.28182,114.2257
元嶺村,22.47379,114.15459
汝州街173號,22.3284,114.16318
祥華邨祥順樓,22.49288,114.14268
嘉湖山莊7期景湖居1座,22.46078,114.00755
汝州街280-286號,22.33069,114.16075
麗港城7座,22.30669,114.22675
上海大廈,22.31389,114.16939
美麗邨東座,22.27278,114.17682
樂民新邨樂基樓,22.31572,114.18553
海逸豪園11座,22.30825,114.19255
海逸豪園11座,22.30825,114.19255
樂民新邨樂基樓,22.31572,114.18553
樂民新邨樂基樓,22.31572,114.18553
樂民新邨樂基樓,22.31572,114.18553
梨木樹邨桃樹樓,22.37691,114.13526
太古城寧安閣,22.28618,114.21481
紫荊樓二期,22.44628,114.0232
海韻軒海景酒店3座,22.42637,114.22749
麗港城7座,22.30669,114.22675
東發大廈C座,22.29005,114.20027
寶盈花園2座,22.30709,114.26255
荃灣中心南寧樓,22.37907,114.10753
映灣園2期映濤軒6座,22.29255,113.95048
麗都花園4座,22.36642,114.05948
加連威老道59號,22.30043,114.1754
凱旋樓,22.44201,114.02931
文耀樓,22.30774,114.16618
屏山白花村,22.44171,114.00775
榮德大廈,22.3131,114.17014
天馬苑駿昇閣,22.34318,114.18548
香港仕德福酒店 (旺角),22.31699,114.17313
溫思勞街31號,22.30708,114.18267
紅磡樂嘉大廈,22.3079,114.18265
紅磡樂嘉大廈,22.3079,114.18265
瓊軒苑,22.34136,114.20894
綠楊新邨R座,22.37238,114.12092
怡靖苑閒靜閣,22.33216,114.15903
海濱花園海逸閣,22.36186,114.114
天恒邨恒樂樓,22.47159,113.9999
新都城大廈A座,22.29051,114.19964
新都城大廈A座,22.29051,114.19964
東熹苑華熹閣,22.27975,114.2194
鴨寮街173號,22.32974,114.16234
頤庭酒店,22.28766,114.14417
嘉湖山莊麗湖居9座,22.46139,114.00312
麗安邨麗平樓,22.33178,114.15869
洪福邨洪悅樓,22.43875,113.99763
梨木樹邨桃樹樓,22.37691,114.13526
新都城大廈A座,22.29051,114.19964
祥雲大廈,22.31942,114.18838
白加士街66號,22.30567,114.17085
白加士街66號,22.30567,114.17085
工商大廈,22.3061,114.16922
藍田邨藍泰樓,22.31127,114.23648
紫荊樓二期,22.44628,114.0232
海逸豪園11座,22.30825,114.19255
金鑾大廈,22.29857,114.17239
隆基大樓A座,22.28255,114.12942
海逸豪園11座,22.30825,114.19255
綠楊新邨R座,22.37238,114.12092
何文田邨綺文樓,22.31624,114.18258
樂民新邨樂基樓,22.31572,114.18553
長樂街24 號,22.30672,114.17239
順安大廈,22.31395,114.1679
定安大廈D座,22.31722,114.1902
香港天際萬豪酒店,22.31894,113.94361
好彩洋樓,22.44271,114.02419
順安大廈,22.31395,114.1679
順安大廈,22.31395,114.1679
嘉湖山莊景湖居1座,22.46078,114.00755
富來花園B座,22.44735,114.02368
保定樓,22.44523,114.02966
加連威老道59號,22.30043,114.1754
映灣園3期悅濤軒9座,22.29195,113.94954
映灣園3期悅濤軒9座,22.29195,113.94954
映灣園3期悅濤軒9座,22.29195,113.94954
映灣園3期悅濤軒9座,22.29195,113.94954
鴨寮街258號,22.33122,114.16087
美麗邨東座,22.27278,114.17682
福和大樓A座,22.32284,114.16426
荔枝角道83號,22.32427,114.1657
白花村,22.38338,114.26382
梨木樹邨桃樹樓,22.37691,114.13526
定安大廈D座,22.31722,114.1902
家維邨家義樓,22.30752,114.18691
恆運樓,22.44724,114.02317
黃大仙上邨啟善樓,22.34302,114.192
宏德居德壽樓,22.26407,114.23968
綠楊新邨R座,22.37238,114.12092
大南街74號,22.32514,114.16616
天恩邨恩澤樓,22.46452,113.99637
富薈馬頭圍酒店,22.31621,114.18878
鉅發大廈1座,22.44323,114.03026
天恒邨恒樂樓,22.47159,113.9999
文苑樓,22.30752,114.16712
